Wave,F062,F087,F106,F129,F158,F184,F146,F213,Prism,Grism_1stOrder,Grism_0thOrder
0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.473,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.474,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.475,0.0030499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.476,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.477,0.04165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.478,0.1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.479,0.24435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.44425000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.481,0.67795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.482,0.89525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.483,1.05395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.484,1.1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.485,1.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.486,1.22275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.487,1.22475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.488,1.22605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.489,1.2257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,1.2250999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.491,1.2243499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,1.22345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.493,1.2225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.494,1.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.495,1.2217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.496,1.2208999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.497,1.22045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.498,1.22025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.499,1.2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.501,1.21835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,1.21825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.503,1.2186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.504,1.2202000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.505,1.22215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.506,1.2243499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.507,1.22825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.508,1.2323499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.509,1.23675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,1.2417500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.511,1.24675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.512,1.25155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.513,1.2565499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.514,1.2622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.515,1.2681499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.516,1.2742499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.517,1.2803499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.518,1.28625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.519,1.29205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,1.2979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.521,1.30395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.522,1.3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.523,1.3195999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.524,1.3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.525,1.3336999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.526,1.3406500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.527,1.3475000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.528,1.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.529,1.3618999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.531,1.3782999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.532,1.3862999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.533,1.3942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.534,1.40235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.535,1.4106999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.536,1.4193500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.537,1.4281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.538,1.4369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.539,1.44565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,1.4542000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.541,1.46275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.542,1.4715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.543,1.4807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.544,1.4905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.545,1.50055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.546,1.51045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.547,1.5199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.548,1.5287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.549,1.53745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,1.5465499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.551,1.55575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.552,1.56495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.553,1.57435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.554,1.58395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.555,1.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.556,1.6030000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.557,1.61225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.558,1.62165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.559,1.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,1.6402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.561,1.64955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.562,1.65915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.563,1.6689500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.564,1.67895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.565,1.68915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.566,1.7002000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.567,1.71155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.568,1.7212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.569,1.7310500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,1.74275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.571,1.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.572,1.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.573,1.7729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.574,1.7811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.575,1.78925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.576,1.7975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.577,1.8054000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.578,1.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.579,1.8197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.8280500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.581,1.83645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.582,1.8435000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.583,1.8496000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.584,1.8558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.585,1.8615499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.586,1.8664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.587,1.8713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.588,1.8768500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.589,1.8826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,1.88795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.591,1.8929999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.592,1.8982999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.593,1.90285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.594,1.9071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.595,1.9112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.596,1.91575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.597,1.92065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.598,1.92535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.599,1.9297499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1.9338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601,1.9376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.602,1.9415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.603,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.604,1.9515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.605,1.95525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.606,1.9582000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607,1.9603000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.608,1.96145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.609,1.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,1.9635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.611,1.9652500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.612,1.96715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.613,1.96905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.614,1.9715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.615,1.97495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616,1.9784000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.617,1.98175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.618,1.9849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.619,1.9875500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,1.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.621,1.9905499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.622,1.99125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.623,1.9920499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.624,1.99285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625,1.99315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.626,1.9929000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,1.99295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.628,1.99405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.629,1.9955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,1.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.631,1.9965000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.632,1.9969000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.633,1.99725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.634,1.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.635,1.9972500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,1.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.637,2.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.638,2.0027999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.639,2.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,2.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.641,2.00715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.642,2.0096499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.643,2.0119499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.644,2.01325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.645,2.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.646,2.01445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.647,2.01485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.648,2.01585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.649,2.01745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,2.01905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.651,2.0203499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.652,2.0210999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.653,2.0214499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.654,2.02165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.655,2.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,2.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.657,2.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.658,2.0239000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.659,2.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,2.02545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.661,2.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.662,2.02535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.663,2.02535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.664,2.02545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.665,2.02575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.666,2.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667,2.02675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.668,2.0267999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.669,2.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,2.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.671,2.02545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.672,2.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.673,2.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.674,2.0258000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.675,2.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.676,2.02485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.677,2.0239000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.678,2.0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.679,2.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
